# Time-averaged data for fix 4
# TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1658000 -389.223 -127.373 -263.917 39.3648 -31.0372 9.6344
1659000 -170.886 32.4769 -104.217 99.0348 63.8701 -39.0515
1660000 -82.2285 -69.3032 -209.048 49.7433 17.7974 -41.0803
1661000 -99.5001 -94.2012 -36.5972 13.3178 -71.6993 15.906
1662000 -54.0994 -108.834 -148.23 14.1542 -6.15593 19.8821
1663000 -99.0845 -77.6912 -17.3245 87.6339 -11.8418 -63.1597
1664000 -54.6255 -6.81457 -133.091 54.6108 -24.8685 -12.6961
1665000 -65.081 -129.593 0.655281 -40.2559 -44.4897 75.6519
1666000 77.8325 -79.3884 -86.6464 67.2362 -18.7195 -23.5846
1667000 -196.809 -221.831 -256.794 18.6394 79.8166 -56.6413
1668000 -94.9863 -151.726 -172.636 -43.0408 -89.9213 -37.233
1669000 -47.7771 -73.9579 50.4014 -20.955 -8.958 -4.94328
1670000 -68.4103 -166.393 -78.1966 -66.2539 34.4508 -38.5001
1671000 -170.598 -201.312 -134.243 -20.5776 42.9004 38.9025
1672000 -15.8589 -140.163 -50.7521 -77.0348 71.7577 -0.544643
1673000 -4.80452 -21.136 -37.4554 -72.2159 40.9287 3.30614
1674000 -142.582 -30.8288 -64.3772 15.4982 -27.6161 49.2048
1675000 -49.6389 22.6444 73.6061 -53.1576 -12.9168 101.459
1676000 -97.8685 114.153 17.1481 -70.2879 -20.8836 143.11
1677000 -155.598 -8.14531 -60.0532 -14.2094 -101.841 26.0489
1678000 -105.544 -56.8459 -26.3757 -111.007 39.1266 -9.31712
1679000 -13.76 -76.6781 -57.2084 -135.542 -31.5147 -13.7875
1680000 -64.7559 40.3654 -156.025 48.6251 -29.3367 23.2308
1681000 -83.0589 -100.614 -19.5957 -15.3356 27.1083 -82.2894
1682000 -149.995 106.596 -8.44047 11.7174 52.1797 -17.0934
1683000 -134.163 -3.00251 -24.9534 43.4835 23.8607 22.9443
1684000 -122.107 -80.3714 -138.211 26.5863 -16.7674 24.4348
1685000 -201.843 -40.0306 -136.453 -6.42317 -13.8738 -7.35525
1686000 -255.573 -164.105 -146.644 -18.4849 8.80573 55.9929
1687000 43.2656 14.144 -3.72896 -11.3226 -50.5748 53.7474
1688000 -159.402 78.504 -176.774 21.1343 47.2168 79.6196
1689000 -134.33 -4.36916 -98.2994 42.5029 19.107 10.6338
1690000 70.036 -58.1651 42.2199 -16.8623 -36.899 93.0245
1691000 -82.4573 -160.575 71.9319 -18.9797 -58.1655 9.55238
1692000 -59.5948 -158.367 92.4442 -35.6357 -20.838 16.5769
1693000 -20.3574 -139.546 5.40491 -13.2036 0.53119 -11.7145
1694000 3.50173 -56.9698 -55.4561 20.8585 54.234 -52.2455
1695000 -46.0422 -104.154 -4.52583 -43.148 54.9329 -90.3536
1696000 -39.5097 -232.447 58.8262 -64.2207 37.792 -69.0349
1697000 4.33563 8.16066 -91.5601 57.3135 -14.8128 -28.7861
1698000 -73.4155 -313.258 -103.003 32.0984 47.7494 -18.641
1699000 -197.812 -148.709 -50.3553 44.3959 -42.8383 -3.86446
1700000 -17.6748 -171.232 -31.0974 38.3148 -96.6613 -29.1676
1701000 -94.3307 -82.0219 -75.3502 50.8462 -22.9952 9.37907
1702000 -22.481 -78.2602 -158.874 39.3574 36.623 30.0427
1703000 7.84084 10.9337 -223.46 8.14097 -16.219 13.2542
1704000 61.3406 -94.8237 -64.3331 23.192 15.9833 -2.06658
1705000 -11.6438 -105.38 -27.2773 28.9446 37.1523 36.7399
1706000 -110.016 -183.987 -63.193 -43.6789 12.8763 40.2587
1707000 2.36121 -78.4147 4.74431 23.3572 28.4123 -71.3868
1708000 -49.2724 106.472 -22.6042 3.53848 21.105 -51.19
1709000 -65.5118 -54.3946 -116.468 -53.1951 -5.5994 14.3031
1710000 -106.057 -45.3484 -8.23805 59.1458 109.961 -54.6506
1711000 59.564 149.563 24.9347 39.1438 -48.2236 27.473
1712000 -14.71 -38.144 -90.4451 48.6748 -42.451 32.3636
1713000 -192.583 -152.874 -154.127 -9.24353 -52.4551 10.6353
1714000 -169.057 -124.661 -229.353 46.4453 31.3504 -95.2002
1715000 -99.2994 -88.6746 -41.204 37.5986 -44.8332 -27.0166
1716000 -107.685 -5.45253 11.8802 -3.72714 -28.2969 -113.301
1717000 -34.8112 -147.459 -84.8593 -88.5757 -58.3942 17.6426
1718000 6.87009 -171.166 -51.2401 5.36986 39.1007 10.8121
1719000 80.4882 -164.653 -157.507 27.3884 -1.45486 70.3403
1720000 -110.149 -22.6662 -221.037 -72.2677 -19.4015 100.377
1721000 -237.86 -188.336 -254.902 0.365497 68.3617 -9.70891
1722000 -108.343 -85.4992 -20.7825 -7.86926 -10.6981 -27.712
1723000 -118.386 -39.9969 -117.371 -48.0118 -35.8165 -43.6845
1724000 -157.765 -44.1139 -23.1425 57.8707 94.8472 16.2252
1725000 -58.5057 -8.30615 -98.8607 37.2135 3.21667 -37.6301
